Name,Address,District,AGA Division,PS/MC/UC
LAKMINI,"NO. 676,PERADENIYA ROAD,KANDY",Kandy,Kandy,Kandy Divisional Secretariat
ART LANKA,"NO. 951, PERADENIYA ROAD,KANDY",Kandy,Kandy,Kandy Divisional Secretariat
SIFANI JEWELLERS,"845, PERADENIYA ROAD, KANDY.",Kandy,Kandy,Kandy Divisional Secretariat
TONY'S FAIR,"530, COLOMBO ROAD, KIRIBATHKUMBURA, KANDY.",Kandy,Kandy,Kandy Divisional Secretariat
NISHANTHA WOOD CARVINGS,"NO. 3, 26TH POST, HATHAMUNA ROAD, POLONNARUWA",Polonnaruwa,Polonnaruwa,Padiyathalawa Divisional Secretariat
HOUSE OF FASHINES GARMENTS,"NO.28, R.A.D. MEL MAWATHA, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat
HEMACHANDRAS,"NO. 939, PERADENIYA ROAD, KANDY",Kandy,Kandy,Kandy Divisional Secretariat
HEMACHANDRAS,"QUEEN'S HOTEL, KANDY",Kandy,Kandy,Kandy Divisional Secretariat
NORITAKE LANKA PORECELAIN,"NO.580,NEGOMBO ROAD, MABOLE, WATTALA",Colombo,Colombo,Colombo Divisional Secretariat
PRASANNA GEM CENTER,"NO. 919, PERADENIYA ROAD, KANDY",Kandy,Kandy,Kandy Divisional Secretariat
ASIAN GEMS & JEWELLERY,"50A,HOTEL ROAD, MT. LAVINIA",Colombo,Colombo,Colombo Divisional Secretariat
SERENE GEM GALLERY,"NO.11, JOSEPH LANE, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat
KUBRA JEWELLERS,"245, GALLE ROAD, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat
LAKMEDURA,"NO.113, DHARMAPALA MAWATHA, COLOMBO 07",Colombo,Colombo,Colombo Divisional Secretariat
HOUSE OF FASHION GARMENTS,"NO.28,R.A. DE MEL MAWATHA, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat
TIESH BY LAKMINI,"253, R.A. DE MEL MAWATHA, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat
SILK & STYLE,"AIRPORT GARDEN HOTEL, NEGOMBO ROAD, SEEDUWA",Gampaha,Negombo,Negombo Divisional Secretariat
BANDULA FERNANDO BATIKS,"289/5, NOEL MENDIS MAWATHA, PANADURA",Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat
DHANAJA GEM MUSEUM,"590, COLOMBO ROAD, NEW TOWN, RATHNAPURA",Ratnapura,Ratnapura,Ratnapura Divisional Secretariat
FIOR DRISSAGE JEWELLERS,"NO.42-D, COLOMBO ROAD, LIYANAGEMULLA, SEEDUWA",Gampaha,Negombo,Negombo Divisional Secretariat
PREMADASAS GEMS AND JEWELLERY,"NO. 75/7, WORD PLACE, COLOMBO-07",Colombo,Colombo,Colombo Divisional Secretariat
PREMADASA GEMS AND JEWELLERY,"NO. 800, PERADENIYA, KANDY",Kandy,Kandy,Kandy Divisional Secretariat
AMITH GEMS,"644,PERADENIYA ROAD,KANDY.",Kandy,Kandy,Kandy Divisional Secretariat
