Name,Address,District,AGA Division,PS/MC/UC,,,,
EXOTIC TOURS (PVT) LTD,"NO. 572/10, 2ND FLOOR, MADIWELA ROAD, THALAWATHUGODA",Colombo,Dehiwala-Mount Lavinia,Moratuwa Divisional Secretariat,,,,
HAMOOS TRAVELS (PVT) LTD,"NO.34, DR WIJEWARDHANA MAWATHA, COLOMBO 10",Colombo,Colombo,Maradana,,,,
WORLDLINK TRAVELS (PVT) LTD,"NO.20 DHARMARAMA ROAD, COLOMBO 06",Colombo,Colombo,Colombo Divisional Secretariat,,,,
THE TRAVEL MARKET (PVT) LTD,"NO. 182, AIRLINK TOWERS, MAIN STREET, KATTANKUDY 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TANGERINE TOURS (PVT) LTD,"NO.236, GALLE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SEIKOU LANKA TOURS (PVT) LTD,"NO.28, R.A.D. MEL MAWATHA, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HANA TRAVELS & TOURS (PVT) LTD,"NO.345.1/1, KOTTE ROAD, RAJAGIRIYA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
FINTRAVEL (PVT) LTD,"NO. 61, ALEXANDRA PLACE, COLOMBO 07",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MAGICAL ISLE HOLIDAYS (PVT) LTD,"NO 26.B, NUGEGODA ROAD, PEPLIYANA.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TAPROBANE TRAVELS ( PVT ) LTD,"NO.4/B,2ND CROSS STREET,TALBOT TOWN,GALLE.",Galle,Galle,Galle Divisional Secretariat,,,,
CEYLON'S BEST TOURS (PVT) LTD,"MIHIRIPENNA, WARAPITIYA, DHARGA TOWN",Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,,,,
LANKA TRAVEL SERVICES,"350, AMBAGAHA JUNCTION ROAD, GOTHATUWA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GLOBAL CONNECTION TRAVELS & TOURS (PVT) LTD,"NO.9, CAL.T.G. JAYAWARDENA MAWATHA, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
REGIONAL DEVELOPMENT HOLDINGS (PVT) LTD,"NO.130/1/B,WATADDARA,VEYANGODA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ADITHYA LANKA HOLIDAYS (PVT) LTD,"NO.136/B, KANDY ROAD, KALALPITIYA, PASYALA",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
GALLE TRAVLS & TOURS (PVT) LTD,"NO.41, MARINE GRAND BANQUEST HALL, 2ND FLOOR, MARINE DRIVE, COLOMBO 06",Colombo,Colombo,Colombo Divisional Secretariat,,,,
WILD HOLIDAYS TRAVELS (PVT) LTD,"NO.42, BAGATHALE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
UNITED LEISURE (PVT) LTD,"NO.174/3/3, 2ND FLOOR, SAMPATH BANK BUILDING, RAGAMA ROAD, KADAWATHA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
VICCTORY TRAVELS,"NO.8/10,BRISTOL STREET, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
IQRA TRAVELS & TOURS (PVT) LTD,"NO.195/1B, GALLE ROAD, BAMBALAPITIYA, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MAL KEY TRAVELS & TOURS (PVT) LTD,"NO.58, PAMANKADA ROAD, COLOMBO 06",Colombo,Colombo,Colombo Divisional Secretariat,,,,
KAMWELTA TRAVEL & TOURS (PVT) LTD,"KINDELPITIYA JUNTION, WELMILLA, BANDARAGAMA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ASIAN ADVENTURES,"NO. 74 A.1/1, PARK STREET, COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
N M LANKA TRAVELS COMPANY,"NO.2/1, NANDANA MOTORS BUILDING, MALIGAWATTE, COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
UPALI TRAVELS (PVT) LTD,"NO.06, REGENTS BUILDING, CHITTAMPALAM GARDINER MAWATHA, COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
M.D.GUNASENA TRAVEL INTERNATIONAL (PVT) LTD,"NO.150, MIHINDU MAWATHA, COLOMBO 12",Colombo,Colombo,Colombo Divisional Secretariat,,,,
A1 TRAVELS (PVT) LTD,"NO. 70/1/1, GALLE ROAD, DEHIWALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
